"","imdb_id","title","genres","release_date","release_year","release_month","country","production_companies","budget","revenue","duration","actors","director","main_country"
"4036",914797,"Bottle Shock (2008)","Drama",2008-09-05,"2008","9","United States","Shocking Bottle;Unclaimed Freight Productions;Hollywood Caterers",5e+06,278075,110,"Chris Pine;Alan Rickman;Bill Pullman;Hal B. Klein;Jean-Michel Richaud;Dennis Farina;Kirk Baily;Freddy Rodríguez;Philippe Bergeron;Rachael Taylor;Louis Giambalvo;Greg Collins;Luis Saguar;James Hiser;Geoff Callan;Eliza Dushku;Miguel Sandoval;Marcia Firesten","Randall Miller","United States"
"4048",1104733,"Hamlet 2 (2008)","Comedy",2008-08-27,"2008","8","United States","Bona Fide Productions;ContentFilm International;L+E Pictures",9e+06,439925,92,"Steve Coogan;Elisabeth Shue;Catherine Keener;Joseph Julian Soria;Skylar Astin;Phoebe Strole;Melonie Diaz;Arnie Pantoja;Michael Esparza;Natalie Amenula;Marshall Bell;David Arquette;Amy Poehler;Shea Pepe;Marco Rodríguez;Deborah Chavez;Kevin Wiggins;Johnnie Hector","Andrew Fleming","United States"
"4050",852713,"House Bunny, The (2008)","Comedy",2008-08-22,"2008","8","United States","Columbia Pictures;Relativity Media;Happy Madison Productions",2.5e+07,14533702,97,"Anna Faris;Colin Hanks;Emma Stone;Kat Dennings;Hugh Hefner;Christopher McDonald;Beverly D'Angelo;Katharine McPhee;Rumer Willis;Kiely Williams;Dana Goodman;Kimberly Makkouk;Monet Mazur;Tyson Ritter;Sarah Wright;Rachel Specter;Owen Benjamin;Holly Madison","Fred Wolf","United States"
"4051",1091751,"Longshots, The (2008)","Drama",2008-08-22,"2008","8","United States","Cube Vision;Dimension Films",2.3e+07,4080687,94,"Ice Cube;Keke Palmer;Tasha Smith;Jill Marie Jones;Dash Mihok;Matt Craven;Glenn Plummer;Garrett Morris;Miles Chandler;Malcolm Goodwin;Michael Colyar;Dean Delray;Earthquake;Hugo Perez;Sheran Goodspeed Keyton;Greg Dorchak;Kofi Siriboe;Alan Aisenberg","Fred Durst","United States"
"4052",1031969,"Rocker, The (2008)","Comedy",2008-08-20,"2008","8","United States","Fox Atomic;21 Laps Entertainment;Rocan Productions",1.5e+07,2636048,102,"Rainn Wilson;Josh Gad;Christina Applegate;Teddy Geiger;Emma Stone;Jeff Garlin;Jane Lynch;Jason Sudeikis;Will Arnett;Howard Hesseman;Fred Armisen;Bradley Cooper;Lonny Ross;Jon Glaser;Jane Krakowski;Samantha Weinstein;Demetri Martin;Aziz Ansari","Peter Cattaneo","United States"
"4058",1213644,"Disaster Movie (2008)","Comedy",2008-08-29,"2008","8","United States","Lionsgate;Grosvenor Park Media;3 in the Box",2e+07,5836973,87,"Carmen Electra;Vanessa Lachey;Nicole Parker;Matt Lanter;Gary 'G. Thang' Johnson;Crista Flanagan;Kim Kardashian;Ike Barinholtz;Tony Cox;Tad Hilgenbrink;Nick Steele;John Di Domenico;Jason Boegh;Valerie Wildman;Abe Spigner;Noah Harpster;Austin Scott;Devin Crittenden","Jason Friedberg;Aaron Seltzer","United States"
"4061",844671,"College (2008)","Comedy",2008-08-29,"2008","8","United States","Element Films;L.I.F.T. Production",7e+06,2153109,94,"Drake Bell;Kevin Covais;Andrew Lewis Caldwell;Andree Moss;Carolyn Moss;Wendy Talley;Alona Tal;Ryan Pinkston;Brandi Gerard;Jessica Heap;Finch Nissen;Camille Mana;Haley Bennett;Nathalie Walker;Nick Zano;Gary Owen;Zach Cregger;Reggie Martinez","Deb Hagan","United States"
"4062",1149405,"Trouble the Water (2008)","Documentary",2008-12-05,"2008","12","United States","Elsewhere Films",9e+05,28606,90,"Michael Brown;George W. Bush;Julie Chen Moonves;Ray Nagin;Brian Nobles;Wink Rivers;Kimberly Rivers Roberts;Scott Roberts;Larry Sims;Shepard Smith;Harry Smith","Carl Deal;Tia Lessin","United States"
"4069",1020936,"August Evening (2007)","Drama",2007-06-21,"2007","6","United States","Doki-Doki Productions",35000,3296,128,"Pedro Castaneda;Veronica Loren;Abel Becerra;Walter Perez;Sandra Rios;Raquel Gavia;Cesar Flores;Grisel Rodriguez;Tom Spry;Jeremy Becerra;Ethan Mallen;Amelia Castillo;Richard Weyman Moreno;Rosalba Aguayo Villegas;Stella Romero;Benito Lara;Marina Hernandez;William Holliman","Chris Eska","United States"
"4070",992911,"Flash Point (a.k.a. Flashpoint) (Dou fo sin) (2007)","Action",2007-07-26,"2007","7","Hong KongChina","Mandarin Films Distribution;Chang Ying Group;Beijing Poly-bona Film Publishing Company",8e+06,3271,88,"Donnie Yen;Louis Koo;Ray Lui;Collin Chou;Bingbing Fan;Kent Cheng;Xing Yu;Ben Lam;Lan Law;Timmy Hung;Tony Ho;Ping Ha;Irene Wang;Austin Wai;Wai Ai;Chi Wai Wong;Aaron Leung;Kenji Tanigaki","Wilson Yip","Hong Kong"
"4075",800308,"Appaloosa (2008)","Western",2008-10-03,"2008","10","United States","New Line Cinema;Axon Films;Groundswell Productions",2e+07,248847,115,"Ed Harris;Viggo Mortensen;Renée Zellweger;Jeremy Irons;Robert Jauregui;Timothy V. Murphy;Luce Rains;James Tarwater;Boyd Kestner;Gabriel Marantz;Benjamin Rosenshein;Cerris Morgan-Moyer;James Gammon;Timothy Spall;Tom Bower;Erik J. Bockemeier;Freddie Hice;Neil Summers","Ed Harris","United States"
"4077",455538,"How to Lose Friends & Alienate People (2008)","Comedy",2008-10-03,"2008","10","United Kingdom","Number 9 Films;Film4;Intandem Films",2.8e+07,1430294,110,"Simon Pegg;Kirsten Dunst;Megan Fox;Kelan Guy;Janette Scott;Danny Huston;Gillian Anderson;Kelly Jo Charge;Christian Maier Smith;Katherine Parkinson;Felicity Montagu;Thandiwe Newton;John Lightbody;Ian Bonar;James Corden;Fenella Woolgar;Chris O'Dowd;Hugh Thompson","Robert B. Weide","United Kingdom"
"4085",1175491,"W. (2008)","Drama",2008-10-17,"2008","10","United StatesAustraliaHong KongSwitzerlandChina","Lionsgate;QED International;Omnilab Media",25100000,10505668,129,"Josh Brolin;Elizabeth Banks;Ioan Gruffudd;Colin Hanks;Toby Jones;Dennis Boutsikaris;Jeffrey Wright;Thandiwe Newton;Scott Glenn;Richard Dreyfuss;Bruce McGill;Wes Chatham;Jesse Bradford;Sean Stone;Ben Mayer;James Cromwell;Juan Gabriel Pareja;Shea Lewis","Oliver Stone","United States"
"4088",416212,"Secret Life of Bees, The (2008)","Drama",2008-10-17,"2008","10","United States","Searchlight Pictures;Overbrook Entertainment;Donners' Company",1.1e+07,10527799,114,"Dakota Fanning;Jennifer Hudson;Queen Latifah;Alicia Keys;Sophie Okonedo;Paul Bettany;Hilarie Burton;Tristan Mack Wilds;Nate Parker;Shondrella Avery;Renee Ford Clark;Sharon Conley;Nicky Buggs;Jasmine Burke;Emma Sage Bowman;Emily Alyn Lind;Addy Miller;Taylor Kowalski","Gina Prince-Bythewood","United States"
"4089",1054588,"Flash of Genius (2008)","Drama",2008-10-03,"2008","10","CanadaUnited States","Universal Pictures;Spyglass Entertainment;Strike Entertainment",2e+07,2251075,119,"Greg Kinnear;Lauren Graham;Alan Alda;Tim Eddis;Warren Belle;Karl Pruner;Bill Lake;Dermot Mulroney;Landon Norris;Shae Norris;Steven Woodworth;Victoria Learn;Dylan Authors;Ronn Sarosiak;Gavin Kuiack;Ben Kuiak;Tom Rooney;Kate Parker","Marc Abraham","Canada"
"4093",469903,"Express, The (2008)","Drama",2008-10-10,"2008","10","United StatesGermany","Davis Entertainment;IDEA Filmproduktions;Relativity Media",4e+07,4562675,130,"Rob Brown;Dennis Quaid;Clancy Brown;Darrin Dewitt Henson;Omar Benson Miller;Nelsan Ellis;Charles S. Dutton;Justin Martin;Justin Jones;Nicole Beharie;Aunjanue Ellis;Elizabeth Shivers;Danny McCarthy;Regina Hoyles;Chelcie Ross;Saul Rubinek;Craig Hawksley;Jeff Still","Gary Fleder","United States"
"4101",430922,"Role Models (2008)","Comedy",2008-11-07,"2008","11","GermanyUnited States","Universal Pictures;Relativity Media;Stuber/Parent",2.8e+07,19167085,99,"Paul Rudd;Seann William Scott;Elizabeth Banks;Christopher Mintz-Plasse;Bobb'e J. Thompson;Jane Lynch;Ken Jeong;Ken Marino;Kerri Kenney;A.D. Miles;Joe Lo Truglio;Matt Walsh;Nicole Randall Johnson;Alexandra Stamler;Carly Craig;Jessica Morris;Vincent Martella;Armen Weitzman","David Wain","Germany"
"4103",1135985,"Sex Drive (2008)","Comedy",2008-10-17,"2008","10","United States","Summit Entertainment;Alloy Entertainment;Goldcrest Pictures",1.9e+07,3607164,109,"Josh Zuckerman;Clark Duke;Amanda Crew;James Marsden;Seth Green;Alice Greczyn;Katrina Bowden;Charlie McDermott;Mark L. Young;Cole Petersen;Dave Sheridan;Michael Cudlitz;Allison Weissman;Andrea Anders;Kim Ostrenko;Brett Rice;David Koechner;Caley Hayes","Sean Anders","United States"
"4105",1013753,"Milk (2008)","Drama",2009-01-30,"2009","1","United States","Focus Features;Axon Films;Groundswell Productions",2e+07,1453844,128,"Sean Penn;Josh Brolin;Emile Hirsch;Diego Luna;James Franco;Alison Pill;Victor Garber;Denis O'Hare;Joseph Cross;Stephen Spinella;Lucas Grabeel;Brandon Boyce;Howard Rosenman;Kelvin Yu;Jeff Koons;Ted Jan Roberts;Boyd Holbrook;Frank M. Robinson","Gus Van Sant","United States"
"4108",369436,"Four Christmases (2008)","Comedy",2008-11-26,"2008","11","GermanyUnited States","New Line Cinema;Spyglass Entertainment;Wild West Picture Show Productions",8e+07,31069826,88,"Reese Witherspoon;Vince Vaughn;Mary Steenburgen;Robert Duvall;Sissy Spacek;Jon Voight;Jon Favreau;Dwight Yoakam;Tim McGraw;Kristin Chenoweth;Katy Mixon;Colleen Camp;Jeanette Miller;Jack Donner;Steve Wiebe;Zak Boggan;Skyler Gisondo;True Bella Pinci","Seth Gordon","Germany"
"4121",814314,"Seven Pounds (2008)","Drama",2008-12-19,"2008","12","United States","Columbia Pictures;Relativity Media;Overbrook Entertainment",5.5e+07,14851136,123,"Will Smith;Rosario Dawson;Woody Harrelson;Michael Ealy;Barry Pepper;Elpidia Carrillo;Robinne Lee;Joe Nunez;Bill Smitrovich;Tim Kelleher;Gina Hecht;Andy Milder;Judyann Elder;Sarah Jane Morris;Madison Pettis;Ivan Angulo;Octavia Spencer;Cynthia Rube","Gabriele Muccino","United States"
"4122",1125849,"Wrestler, The (2008)","Drama",2009-01-30,"2009","1","United StatesFrance","Wild Bunch;Protozoa Pictures;Saturn Films",6e+06,202714,109,"Mickey Rourke;Marisa Tomei;Evan Rachel Wood;Mark Margolis;Todd Barry;Wass Stevens;Judah Friedlander;Ernest Miller;Dylan Keith Summers;Tommy Farra;Mike Miller;Marcia Jean Kurtz;John D'Leo;Ajay Naidu;Gregg Bello;Scott Siegel;Maurizio Ferrigno;Donnetta Lavinia Grays","Darren Aronofsky","United States"
"4124",1068680,"Yes Man (2008)","Comedy",2008-12-19,"2008","12","United StatesUnited Kingdom","Warner Bros.;Village Roadshow Pictures;Heyday Films",7e+07,18262471,104,"Jim Carrey;Zooey Deschanel;Bradley Cooper;John Michael Higgins;Rhys Darby;Danny Masterson;Fionnula Flanagan;Terence Stamp;Sasha Alexander;Molly Sims;Brent Briscoe;Rocky Carroll;John Cothran;Spencer Garrett;Sean O'Bryan;Kai Lennox;Cecelia Antoinette;Patrick Labyorteaux","Peyton Reed","United States"
"4126",1028539,"Girls Rock! (2007)","Documentary",2008-03-07,"2008","3","United States","Girls Rock Productions",180000,29917,90,"","","United States"
"4135",1152850,"Wendy and Lucy (2008)","Drama",2009-03-06,"2009","3","United States","Field Guide Films;Film Science;Glass Eye Pix",2e+05,18218,80,"Michelle Williams;Lucy;David Koppell;Max Clement;Sid Shanley;Dave Hubner;Michelle Worthey;Will Oldham;Wally Dalton;Roger D. Faires;Boggs Johnson;Tanya Smith;Michael Brophy;John Robinson;John Breen;Deneb Catalan;Skeeter Greene;Marilyn Faith Hickey","Kelly Reichardt","United States"
"4161",497316,"Adrift in Manhattan (2007)","Drama",2008-06-06,"2008","6","United States","Cineglobe Productions;Noble Group;Royal McBee",4e+06,2099,91,"Heather Graham;Victor Rasuk;Dominic Chianese;Marlene Forte;Richard Petrocelli;Elizabeth Peña;William Baldwin;Karen Olivo;Nicolle Rochelle;Erika Michels;Liam de Villa;Keren Love Perilman;Karina Arroyave;Alexis Smith;Anthony Cirillo;Felix Solis;Adrianna Bremont;Damian Porter","Alfredo Rodriguez de Villa","United States"
"4162",758746,"Friday the 13th (2009)","Horror",2009-02-13,"2009","2","United States","New Line Cinema;Paramount Pictures;Platinum Dunes",1.9e+07,40570365,97,"Jared Padalecki;Amanda Righetti;Derek Mears;Danielle Panabaker;Travis Van Winkle;Aaron Yoo;Jonathan Sadowski;Julianna Guill;Ben Feldman;Arlen Escarpeta;Ryan Hansen;Willa Ford;Nick Mennell;America Olivo;Kyle Davis;Richard Burgi;Chris Coppola;Rosemary Knower","Marcus Nispel","United States"
"4166",1155056,"I Love You, Man (2009)","Comedy",2009-03-20,"2009","3","United States","Dreamworks Pictures;De Line Pictures;Bernard Gayle Productions",4e+07,17810270,105,"Paul Rudd;Jason Segel;Rashida Jones;Sarah Burns;Greg Levine;Jaime Pressly;Jon Favreau;Jane Curtin;J.K. Simmons;Andy Samberg;Jean Villepique;Rob Huebel;Kym Whitley;Colleen Crabtree;Caroline Farah;Mather Zickel;Aziz Ansari;Nick Kroll","John Hamburg","United States"
"4177",833960,"Gardens of the Night (2008)","Drama",2008-11-21,"2008","11","United KingdomUnited States","Station 3;Fastback Pictures;Shoot Productions",2300000,3072,110,"Gillian Jacobs;John Malkovich;Ryan Simpkins;Tom Arnold;Kevin Zegers;Jermaine Scooter Smith;Harold Perrineau;Jeremy Sisto;Raynold Gideon;Cornelia Guest;Natalie May;Ben Lin;Alice Lo;Evan Ross;Landall Goolsby;Shontae Saldana;Max Van Ville;Kyle Gallner","Damian Harris","United Kingdom"
"4182",1226271,"Damned United, The (2009)","Drama",2009-03-27,"2009","3","United Kingdom","Columbia Pictures;BBC Films;Screen Yorkshire",1e+07,32065,98,"Colm Meaney;Henry Goodman;David Roper;Jimmy Reddington;Oliver Stokes;Ryan Day;Michael Sheen;Mark Bazeley;Timothy Spall;Maurice Roëves;Stephen Graham;Peter McDonald;Mark Cameron;Frank Skillin;Dylan Van Hoof;Sydney Wade;Elizabeth Carling;Jim Broadbent","Tom Hooper","United Kingdom"
"4185",1038043,"Mammoth (Mammut) (2009)","Drama",2009-01-23,"2009","1","SwedenDenmarkGermany","Memfis Film;Film i Väst;Pain Unlimited GmbH Filmproduktion",1e+07,4531,125,"Gael García Bernal;Michelle Williams;Marife Necesito;Sophie Nyweide;Natthamonkarn Srinikornchot;Tom McCarthy;Jan David G. Nicdao;Martin de los Santos;Chiqui Del Carmen;Perry Dizon;Joseph Mydell;Doña Croll;Caesar Kobb;Matthew James Ryder;Piromya Sootrak;Pasakorn Mahakanok;Thanita Nirna-Na-Nan;Ian Stevens","Lukas Moodysson","Sweden"
"4189",1103982,"Girlfriend Experience, The (2009)","Drama",2009-07-08,"2009","7","United States","Magnolia Pictures;2929 Productions;Extension 765",1700000,162965,77,"Sasha Grey;Chris Santos;Philip Eytan;Colby Trane;Peter Zizzo;Ron Stein;Marshall Gilman;Michael Roberts;Vincent Dellacera;Jim Kempner;David Levien;Mark Jacobson;Alan Milstein;Sukhdev Singh;Ted Jessup;Stuart Levine;Marvin Stein;Dennis Shields","Steven Soderbergh","United States"
"4190",1058058,"American Swing (2008)","Documentary",2009-10-17,"2009","10","United States","HDNet Films",5e+05,10174,81,"Bryce Britton;Irwin Corey;William Davidson;Dan Dorfman;Donna Ferrato;Joe Franklin;Jamie Gillis;Al Goldstein;Dian Hanson;Buck Henry;Ron Jeremy;Ed Koch;Steve Kraus;Larry Levenson;Fred J. Lincoln;Jersey Matuschka;Robert L. McGinley;Howard Smith","Jon Hart;Mathew Kaufman","United States"
"4194",924129,"Crossing Over (2009)","Drama",2009-02-26,"2009","2","United States","The Weinstein Company;The Kennedy/Marshall Company;Movie Prose",1.9e+07,77370,113,"Harrison Ford;Ashley Judd;Ray Liotta;Jim Sturgess;Cliff Curtis;Alice Braga;Alice Eve;Summer Bishil;Jacqueline Obradors;Justin Chon;Melody Zara;Merik Tadros;Marshall Manesh;Nina Nayebi;Naila Azad;Shelley Malil;Jamen Nanthakumar;Jaysha Patel","Wayne Kramer","United States"
"4197",104283,"Folks! (1992)","Comedy",1992-05-01,"1992","5","United States","Penta Pictures;Pentamerica",1.5e+07,2177518,107,"Tom Selleck;Don Ameche;Anne Jackson;Christine Ebersole;Wendy Crewson;Michael Murphy;Robert Pastorelli;Kevin Chevalia;Maggie Murphy;Joseph Wayne Miller;T.J. Parish;J. Patrick McCormack;Peter Burns;Jon Favreau;Jackye Roberts;Kevin Barry Howe;Christopher Campbell;Omar Cabral","Ted Kotcheff","United States"
"4198",967945,"Merry Gentleman, The (2008)","Drama",2009-12-04,"2009","12","United States","Jackson Income Fund;Merry Gentleman;South Water Pictures",5e+06,74981,110,"Michael Keaton;Kelly Macdonald;Bobby Cannavale;Kareem Bandealy;Darlene Hunt;Philip Earl Johnson;Rich Wilkie;Keith Kupferer;Tom Bastounes;Guy Van Swearingen;Larry Neumann Jr.;William Dick;Lori Ann Gerdisch;Greg Mills;Mike Bradecich;Mike Falevits;Alkesh Patel;Sean Fortunato","Michael Keaton","United States"
"4208",1083456,"Fired Up (2009)","Comedy",2009-02-20,"2009","2","United States","Screen Gems;Moving Pictures, DPI;Gross Entertainment",2e+07,5483778,90,"Eric Christian Olsen;Nicholas D'Agosto;Sarah Roemer;Molly Sims;Danneel Ackles;David Walton;Adhir Kalyan;AnnaLynne McCord;Juliette Goglia;Philip Baker Hall;John Michael Higgins;Smith Cho;Margo Harshman;Hayley Marie Norman;Jake Sandvig;Nicole Tubiola;Collins Pennie;Edie McClurg","Will Gluck","United States"
"4209",120376,"Trojan War (1997)","Comedy",1997-10-01,"1997","10","United States","Daybreak",1.5e+07,217,84,"Will Friedle;Jennifer Love Hewitt;Marley Shelton;Danny Masterson;Jason Marsden;Eric Balfour;Jennie Kwan;Charlotte Ayanna;Lee Majors;John Finn;Wendie Malick;Christine Deaver;Mike Moroff;Lobo Sebastian;Joe Cerrano;David Patrick Kelly;Paulo Tocha;Julien Cesario","George Huang","United States"
"4225",419815,"Holly (2006)","Drama",2010-01-07,"2010","1","United StatesFranceIsraelCambodia","Priority Films;Max Entertainment (I);Vox Entertainment",3e+06,32406,114,"Ron Livingston;Chris Penn;Udo Kier;Virginie Ledoyen;Jacquie Nguyen;Sahajak Boonthanakit;Srey Cham;Kosal Dang;Mudha Dann;Kun Daravann;Sethy Dy;Adi Ezroni;Hugh Kirk;Trungta Kositchimongkol;Lina;Teerawat Mulvilai;Net Ngo;Tor Nhim","Guy Moshe","United States"
"4229",1078588,"My Sister's Keeper (2009)","Drama",2009-06-26,"2009","6","United States","Curmudgeon Films;Gran Via Productions;Mark Johnson Productions",3e+07,12442212,109,"Cameron Diaz;Abigail Breslin;Alec Baldwin;Walter Raney;Sofia Vassilieva;Heather Wahlquist;Jason Patric;Evan Ellingson;Nicole Marie Lenz;Paul Butler;Olivia Hancock;Jeffrey Markle;Emily Deschanel;John DeRosa;Marcos A. Ferraez;Noni Tulk-Perna;Matthew Barry;Annie Wood","Nick Cassavetes","United States"
"4232",889583,"Brüno (Bruno) (2009)","Comedy",2009-07-10,"2009","7","United StatesUnited Kingdom","Universal Pictures;Media Rights Capital (MRC);Everyman Pictures",4.2e+07,30619130,81,"Sacha Baron Cohen;Gustaf Hammarsten;Clifford Bañagale;Chibundu Orukwowu;Chigozie Orukwowu;Josh Meyers;Toby Holguin;Robert Huerta;Gilbert Rosales;Thomas Rosales Jr.;Marco Xavier;Bono;Chris Martin;Elton John;Slash;Snoop Dogg;Sting;Kunal Nayyer","Larry Charles","United States"
"4237",938341,"Tokyo Sonata (2008)","Drama",2008-09-27,"2008","9","JapanNetherlandsHong Kong","Django Film;Entertainment Farm (EF);Fortissimo Films",2500000,28345,120,"Teruyuki Kagawa;Kyôko Koizumi;Yû Koyanagi;Kai Inowaki;Haruka Igawa;Kanji Tsuda;Kazuya Kojima;Kôji Yakusho;Faisal Ahmed;Denden;Jason Gray;Hajime Inoue;Masayuki Ito;Kenji Kawahara;Toshiyuki Kitami;Kazuki Namioka;Ayako Sugiyama;Yûya Takagawa","Kiyoshi Kurosawa","Japan"
"4238",101660,"Dark Backward, The (1991)","Comedy",1993-09-24,"1993","9","United States","Backward Films;Elwes/Wyman Productions;L.A. Dreams Productions",2e+06,7917,101,"Judd Nelson;Bill Paxton;Wayne Newton;Lara Flynn Boyle;James Caan;Rob Lowe;King Moody;Claudia Christian;Danny Dayton;Carrie Lynn;Anna Berger;Lydell M. Cheshier;Tom Hodges;Theodocia Goodrich;Laurianne Jameson;Debra Perkins;Charles Knapp;Clifford Streit","Adam Rifkin","United States"
"4240",1179258,"Cheri (2009)","Romance",2009-07-17,"2009","7","United KingdomFranceGermany","Bill Kenwright Films;Pathé;UK Film Council",2.3e+07,405701,100,"Michelle Pfeiffer;Rupert Friend;Kathy Bates;Frances Tomelty;Tom Burke;Hubert Tellegen;Joe Sheridan;Toby Kebbell;Felicity Jones;Iben Hjejle;Alain Churin;Bette Bourne;Nichola McAuliffe;Andras Hamori;Gaye Brown;Rollo Weeks;Jack Walker;Natasha Cashman","Stephen Frears","United Kingdom"
"4254",1092633,"Goods: Live Hard, Sell Hard, The (2009)","Comedy",2009-08-14,"2009","8","United States","Paramount Vantage;Gary Sanchez Productions;Kevin Messick Productions",1e+07,5642137,89,"Jeremy Piven;Ving Rhames;David Koechner;James Brolin;Kathryn Hahn;Ed Helms;Jordana Spiro;Tony Hale;Ken Jeong;Rob Riggle;Alan Thicke;Charles Napier;Jonathan Sadowski;Noureen DeWulf;Wendie Malick;Craig Robinson;Bryan Callen;Joey Kern","Neal Brennan","United States"
"4256",1151922,"Miss March (2009)","Comedy",2009-03-13,"2009","3","United States","Fox Atomic;Sneak Preview Entertainment;Alta Loma Entertainment",6e+06,2409156,90,"Zach Cregger;Trevor Moore;Raquel Alessi;Molly Stanton;Craig Robinson;Hugh Hefner;Carla Jimenez;Cedric Yarbrough;Geoff Meed;Slade Pearce;Remy Thorne;Eve Mauro;Alexis Raben;Windell Middlebrooks;Lindsay Schoneweis;David Wells;Tanjareen Thomas;Britten Kelley","Zach Cregger;Trevor Moore","United States"
"4262",1074929,"Adoration (2008)","Drama",2009-04-24,"2009","4","Canada","Serendipity Point Films;ARP Sélection;Ego Film Arts",4700000,39358,101,"Devon Bostick;Rachel Blanchard;Louca Tassone;Kenneth Welsh;Yuval Daniel;Scott Speedman;Jeremy Wright;Arsinée Khanjian;Noam Jenkins;Thomas Hauff;Martin Roach;Ieva Lucs;Katie Boland;Hailee Sisera;Lia Bellefontaine;Jermaine Crooks;Hannah Fogel;Celeste Howard","Atom Egoyan","Canada"
"4264",865559,"My Life in Ruins (2009)","Comedy",2009-06-05,"2009","6","United StatesSpain","26 Films;Kanzaman",1.7e+07,3223161,98,"Nia Vardalos;Richard Dreyfuss;Rachel Dratch;Alexis Georgoulis;Alistair McGowan;Harland Williams;Caroline Goodall;Ian Ogilvy;Sophie Stuckey;María Botto;María Adánez;Brian Palermo;Jareb Dauplaise;Simon Gleeson;Natalie O'Donnell;Sheila Bernette;Ralph Nossek;Bernice Stegers","Donald Petrie","United States"
"4266",1127896,"Taking Woodstock (2009)","Comedy",2009-08-28,"2009","8","United States","Focus Features",3e+07,3457760,120,"Demetri Martin;Henry Goodman;Edward Hibbert;Imelda Staunton;Kevin Chamberlin;Lee Wong;Anthoula Katsimatides;Clark Middleton;Bette Henritze;Sondra James;Jeffrey Dean Morgan;Christina Kirk;Gail Martino;Emile Hirsch;Adam LeFevre;Eugene Levy;Andy Prosky;Dan Fogler","Ang Lee","United States"
"4275",1225822,"Extract (2009)","Comedy",2009-09-04,"2009","9","United States","Ternion Pictures;F+A Productions;3 Arts Entertainment",8e+06,4340108,92,"Jason Bateman;Kristen Wiig;Ben Affleck;Mila Kunis;J.K. Simmons;Clifton Collins Jr.;Dustin Milligan;David Koechner;Beth Grant;T.J. Miller;Javier Gutierrez;Lidia Porto;Gene Simmons;Matt Schulze;Lamberto Gutierrez;Brent Briscoe;Hal Sparks;Nick Thune","Mike Judge","United States"
"4283",875705,"Lake City (2008)","Drama",2008-04-25,"2008","4","United States","Mark Johnson Productions;Lake City Productions",4e+06,9355,93,"Sissy Spacek;Jason Davis;Alina Phelan;Cheryl Fare;Jessica Hutson;Jack Weber;Sydney ter Avest;Kenny Hinkle;Troy Garity;Dave Matthews;Jay Pearson;Colin Ford;Barry Corbin;Irene Ziegler;Rebecca Romijn;Keith Carradine;Alison Waite;Elizabeth Wiley","Hunter Hill;Perry Moore","United States"
"4284",1153690,"Ballast (2008)","Drama",2008-01-19,"2008","1","United States","Alluvial Film Company",7e+05,8572,96,"Micheal J. Smith Sr.;JimMyron Ross;Tarra Riggs;Johnny McPhail;Ventress Bonner;Jimez Alexander;Jean Paul Guillory;Marcus Alexander;Marquice Alexander;Lawrence Jackson;Jeremy Jordan;Steve Cabell;Sam Dobbins;Neil Pettigrew;Sanjib Shrestha;Carol Clark;Lee G. Beck;Michael Johnston","Lance Hammer","United States"
"4285",1232207,"Capitalism: A Love Story (2009)","Documentary",2009-10-02,"2009","10","United States","Overture Films;Paramount Vantage;The Weinstein Company",2e+07,231964,127,"Michael Moore;William Black;Jimmy Carter;Elijah Cummings;Marcus Haupt;Baron Hill;Marcy Kaptur;John McCain;Steve Moore;Sarah Palin;Ronald Reagan;Franklin D. Roosevelt;Bernie Sanders;Arnold Schwarzenegger;Wallace Shawn;Chesley Sullenberger;Elizabeth Warren;Peter Zalewski","Michael Moore","United States"
"4289",1058017,"Invention of Lying, The (2009)","Comedy",2009-10-02,"2009","10","United States","Warner Bros.;Radar Pictures;Media Rights Capital (MRC)",18500000,7027472,100,"Ricky Gervais;Jennifer Garner;Jonah Hill;Louis C.K.;Jeffrey Tambor;Fionnula Flanagan;Rob Lowe;Tina Fey;Donna Sorbello;Stephanie March;Ruben Santiago-Hudson;John Hodgman;Nate Corddry;Jimmi Simpson;Martin Starr;Jason Bateman;Christopher Guest;Alton Fitzgerald White","Ricky Gervais;Matthew Robinson","United States"
"4297",1035736,"Coco Before Chanel (Coco avant Chanel) (2009)","Drama",2009-11-06,"2009","11","FranceBelgium","Haut et Court;Ciné@;Warner Bros.",2.3e+07,406768,105,"Audrey Tautou;Benoît Poelvoorde;Alessandro Nivola;Marie Gillain;Emmanuelle Devos;Régis Royer;Etienne Bartholomeus;Yan Duffas;Fabien Béhar;Roch Leibovici;Jean-Yves Chatelais;Pierre Diot;Vincent Nemeth;Bruno Abraham-Kremer;Lisa Cohen;Inès Bessalem;Marie-Bénédicte Roy;Emilie Gavois-Kahn","Anne Fontaine","France"
"4299",881891,"All About Steve (2009)","Comedy",2009-09-04,"2009","9","United States","Fox 2000 Pictures;Radar Pictures;Dune Entertainment III",1.5e+07,11241214,99,"Sandra Bullock;Bradley Cooper;Thomas Haden Church;Ken Jeong;DJ Qualls;Howard Hesseman;Keith David;Beth Grant;Katy Mixon;M.C. Gainey;Holmes Osborne;Delaney Hamilton;Jason Jones;Carlos Gómez;George Sharperson;Luenell;Christina Carlisi;Joe D'Angerio","Phil Traill","United States"
